stockcode,stockname,date,lagclose,close,marketvalue,region
FCHI.GI,法国CAC40,20191025,5684.33,5722.15,0,法国
FCHI.GI,法国CAC40,20191028,5722.15,5730.57,0,法国
FCHI.GI,法国CAC40,20191029,5730.57,5740.14,0,法国
FCHI.GI,法国CAC40,20191030,5740.14,5765.87,0,法国
FCHI.GI,法国CAC40,20191031,5765.87,5729.86,0,法国
FCHI.GI,法国CAC40,20191101,5729.86,5761.89,0,法国
FCHI.GI,法国CAC40,20191104,5761.89,5824.3,0,法国
FCHI.GI,法国CAC40,20191105,5824.3,5846.89,0,法国
FCHI.GI,法国CAC40,20191106,5846.89,5866.74,0,法国
FCHI.GI,法国CAC40,20191107,5866.74,5890.99,0,法国
FCHI.GI,法国CAC40,20191108,5890.99,5889.7,0,法国
FCHI.GI,法国CAC40,20191111,5889.7,5893.82,0,法国
FCHI.GI,法国CAC40,20191112,5893.82,5919.75,0,法国
FCHI.GI,法国CAC40,20191113,5919.75,5907.09,0,法国
FCHI.GI,法国CAC40,20191114,5907.09,5901.08,0,法国
FCHI.GI,法国CAC40,20191115,5901.08,5939.27,0,法国
FCHI.GI,法国CAC40,20191118,5939.27,5929.79,0,法国
FCHI.GI,法国CAC40,20191119,5929.79,5909.05,0,法国
FCHI.GI,法国CAC40,20191120,5909.05,5894.03,0,法国
FCHI.GI,法国CAC40,20191121,5894.03,5881.21,0,法国
FCHI.GI,法国CAC40,20191122,5881.21,5893.13,0,法国
FCHI.GI,法国CAC40,20191125,5893.13,5924.86,0,法国
FCHI.GI,法国CAC40,20191126,5924.86,5929.62,0,法国
FCHI.GI,法国CAC40,20191127,5929.62,5926.84,0,法国
FCHI.GI,法国CAC40,20191128,5926.84,5912.72,0,法国
FCHI.GI,法国CAC40,20191129,5912.72,5905.17,0,法国
FCHI.GI,法国CAC40,20191202,5905.17,5786.74,0,法国
FCHI.GI,法国CAC40,20191203,5786.74,5727.22,0,法国
FCHI.GI,法国CAC40,20191204,5727.22,5799.68,0,法国
FCHI.GI,法国CAC40,20191205,5799.68,5801.55,0,法国
FCHI.GI,法国CAC40,20191206,5801.55,5871.91,0,法国
FCHI.GI,法国CAC40,20191209,5871.91,5837.25,0,法国
FCHI.GI,法国CAC40,20191210,5837.25,5848.03,0,法国
